"Date","Price","Open","High","Low","Vol.","Change %"
"08/11/2019","113.61","112.54","114.17","112.14","29.09M","1.32%"
"08/04/2019","112.13","111.82","113.27","111.66","31.80M","0.88%"
"07/28/2019","111.15","109.62","111.20","109.39","37.13M","1.56%"
"07/21/2019","109.44","109.79","109.80","109.23","12.40M","-0.16%"
"07/14/2019","109.62","109.14","109.89","108.83","11.26M","0.52%"
"07/07/2019","109.05","109.75","109.82","108.88","18.57M","-0.49%"
"06/30/2019","109.59","109.82","110.40","109.34","17.58M","-0.39%"
"06/23/2019","110.02","109.74","110.22","109.60","21.85M","0.44%"
"06/16/2019","109.54","109.30","110.28","109.17","21.03M","0.20%"
"06/09/2019","109.32","108.86","109.38","108.57","16.44M","0.08%"
"06/02/2019","109.23","108.88","109.42","108.60","42.24M","0.29%"
"05/26/2019","108.91","107.62","108.95","107.53","21.77M","1.43%"
"05/19/2019","107.37","106.75","107.56","106.34","17.28M","0.60%"
"05/12/2019","106.73","106.57","106.97","106.44","19.77M","0.57%"
"05/05/2019","106.12","105.88","106.43","105.73","18.64M","0.61%"
"04/28/2019","105.48","105.72","106.11","105.27","18.96M","-0.41%"
"04/21/2019","105.91","105.26","105.99","105.12","12.97M","0.56%"
"04/14/2019","105.32","105.29","105.46","105.00","14.66M","0.05%"
"04/07/2019","105.27","105.71","106.07","105.27","16.44M","-0.44%"
"03/31/2019","105.73","106.10","106.13","105.51","26.00M","-0.88%"
"03/24/2019","106.67","106.34","107.08","106.25","25.39M","0.31%"
"03/17/2019","106.34","104.99","106.51","104.75","23.72M","1.19%"
"03/10/2019","105.09","104.73","105.17","104.57","21.67M","0.33%"
"03/03/2019","104.74","103.73","104.83","103.66","18.06M","1.13%"
"02/24/2019","103.57","104.43","104.79","103.57","21.98M","-0.98%"
"02/17/2019","104.60","104.63","104.71","104.22","20.80M","0.15%"
"02/10/2019","104.44","104.45","104.61","104.00","27.16M","-0.16%"
"02/03/2019","104.61","103.97","104.73","103.81","23.64M","0.49%"
"01/27/2019","104.10","103.79","104.93","103.79","31.14M","0.26%"
"01/20/2019","103.83","103.72","104.18","103.57","18.12M","0.39%"
"01/13/2019","103.43","104.21","104.29","103.35","24.00M","-0.71%"
"01/06/2019","104.17","104.52","104.57","103.77","33.83M","-0.22%"
"12/30/2018","104.40","103.69","105.32","103.63","43.13M","0.57%"
"12/23/2018","103.81","103.38","103.82","102.95","21.00M","0.57%"
"12/16/2018","103.22","102.66","103.48","102.65","33.96M","0.64%"
"12/09/2018","102.56","102.84","103.04","102.31","25.71M","-0.25%"
"12/02/2018","102.82","101.44","102.96","101.40","30.50M","1.02%"
"11/25/2018","101.78","101.19","101.82","101.13","15.65M","0.46%"
"11/18/2018","101.31","101.06","101.46","101.06","9.53M","0.17%"
"11/11/2018","101.14","100.38","101.18","100.33","21.44M","0.97%"
"11/04/2018","100.17","100.16","100.22","99.75","13.16M","0.20%"
"10/28/2018","99.97","101.01","101.24","99.93","23.56M","-1.16%"
"10/21/2018","101.14","100.22","101.30","100.12","18.77M","1.03%"
"10/14/2018","100.11","100.39","100.44","99.94","16.02M","-0.18%"
"10/07/2018","100.29","99.82","100.55","99.67","16.49M","0.57%"
"09/30/2018","99.72","100.83","101.04","99.60","28.04M","-1.43%"
"09/23/2018","101.17","100.85","101.29","100.68","18.05M","0.17%"
"09/16/2018","101.00","101.41","101.58","100.80","18.30M","-0.51%"
"09/09/2018","101.52","101.89","102.01","101.46","12.90M","-0.38%"
"09/02/2018","101.91","102.26","102.45","101.87","10.81M","-0.68%"
"08/26/2018","102.61","102.75","102.83","102.29","9.69M","-0.27%"
"08/19/2018","102.89","102.70","102.96","102.61","9.98M","0.38%"
"08/12/2018","102.50","102.31","102.68","102.19","14.70M","0.13%"
"08/05/2018","102.37","101.79","102.50","101.54","17.47M","0.64%"
"07/29/2018","101.72","101.57","101.83","101.19","17.80M","-0.05%"
"07/22/2018","101.77","102.10","102.11","101.59","15.02M","-0.44%"
"07/15/2018","102.22","102.39","102.67","102.18","11.74M","-0.38%"
"07/08/2018","102.61","102.37","102.64","102.21","13.20M","0.00%"
"07/01/2018","102.61","102.42","102.71","102.22","10.26M","0.10%"
"06/24/2018","102.51","102.22","102.73","102.21","21.46M","0.39%"
"06/17/2018","102.11","101.96","102.28","101.80","16.82M","0.27%"
"06/10/2018","101.83","101.53","102.10","101.16","16.29M","0.12%"
"06/03/2018","101.71","101.82","102.13","101.36","23.09M","-0.22%"
"05/27/2018","101.93","102.35","103.20","101.77","28.98M","0.03%"
"05/20/2018","101.90","100.70","101.91","100.64","15.76M","1.14%"
"05/13/2018","100.75","101.25","101.28","100.33","20.70M","-0.65%"
"05/06/2018","101.41","101.63","101.66","101.16","13.35M","-0.23%"
"04/29/2018","101.64","101.64","101.81","101.30","17.65M","0.05%"
"04/22/2018","101.59","101.48","101.65","101.06","15.90M","0.02%"
"04/15/2018","101.57","102.33","102.66","101.57","10.56M","-0.98%"
"04/08/2018","102.58","102.74","103.00","102.40","11.34M","-0.33%"
